E:\New_Data\IMG\center_2024_03_22_13_21_18_506.jpg,E:\New_Data\IMG\left_2024_03_22_13_21_18_506.jpg,E:\New_Data\IMG\right_2024_03_22_13_21_18_506.jpg,0,0,0,1.03777E-05
E:\New_Data\IMG\center_2024_03_22_13_21_18_571.jpg,E:\New_Data\IMG\left_2024_03_22_13_21_18_571.jpg,E:\New_Data\IMG\right_2024_03_22_13_21_18_571.jpg,0,0,0,1.044409E-05
E:\New_Data\IMG\center_2024_03_22_13_21_18_638.jpg,E:\New_Data\IMG\left_2024_03_22_13_21_18_638.jpg,E:\New_Data\IMG\right_2024_03_22_13_21_18_638.jpg,0,0,0,1.410256E-05
E:\New_Data\IMG\center_2024_03_22_13_21_18_707.jpg,E:\New_Data\IMG\left_2024_03_22_13_21_18_707.jpg,E:\New_Data\IMG\right_2024_03_22_13_21_18_707.jpg,0,0,0,1.856193E-05
E:\New_Data\IMG\center_2024_03_22_13_21_18_775.jpg,E:\New_Data\IMG\left_2024_03_22_13_21_18_775.jpg,E:\New_Data\IMG\right_2024_03_22_13_21_18_775.jpg,0,0,0,3.103523E-05
E:\New_Data\IMG\center_2024_03_22_13_21_18_842.jpg,E:\New_Data\IMG\left_2024_03_22_13_21_18_842.jpg,E:\New_Data\IMG\right_2024_03_22_13_21_18_842.jpg,0,0,0,2.562293E-05
E:\New_Data\IMG\center_2024_03_22_13_21_18_912.jpg,E:\New_Data\IMG\left_2024_03_22_13_21_18_912.jpg,E:\New_Data\IMG\right_2024_03_22_13_21_18_912.jpg,0,0,0,8.353356E-06
E:\New_Data\IMG\center_2024_03_22_13_21_18_979.jpg,E:\New_Data\IMG\left_2024_03_22_13_21_18_979.jpg,E:\New_Data\IMG\right_2024_03_22_13_21_18_979.jpg,0,0,0,1.822972E-05
E:\New_Data\IMG\center_2024_03_22_13_21_19_047.jpg,E:\New_Data\IMG\left_2024_03_22_13_21_19_047.jpg,E:\New_Data\IMG\right_2024_03_22_13_21_19_047.jpg,0,0,0,2.84742E-05
E:\New_Data\IMG\center_2024_03_22_13_21_19_114.jpg,E:\New_Data\IMG\left_2024_03_22_13_21_19_114.jpg,E:\New_Data\IMG\right_2024_03_22_13_21_19_114.jpg,0,0,0,1.839982E-06
E:\New_Data\IMG\center_2024_03_22_13_21_19_185.jpg,E:\New_Data\IMG\left_2024_03_22_13_21_19_185.jpg,E:\New_Data\IMG\right_2024_03_22_13_21_19_185.jpg,0,0,0,1.769214E-05
E:\New_Data\IMG\center_2024_03_22_13_21_19_253.jpg,E:\New_Data\IMG\left_2024_03_22_13_21_19_253.jpg,E:\New_Data\IMG\right_2024_03_22_13_21_19_253.jpg,0,0,0,3.147714E-06
